dong,n,rent_mean,rent_median,rent_conv_mean,deposit_mean,deposit_median,area_mean,rent_per_area_mean,rent_per_area_median,reliable
권농동,2,40.0,40.0,171.25,35000.0,35000.0,103.5,0.3864734299516908,0.3864734299516908,False
항동,2532,26.402053712480253,16.0,58.038564375987356,8436.402843601896,8000.0,50.25855292259084,0.5020956118904009,0.3341129301703976,True
천왕동,1849,22.541373715521903,16.0,44.7893854786371,5932.803136830719,5040.0,41.224759329367224,0.5728623528944078,0.5006675567423231,True
내곡동,401,32.32917705735661,29.0,83.83849438902743,13735.81795511222,8520.0,51.98688279301745,0.5911624688925579,0.5923468783319512,True
장지동,7908,41.167678300455236,29.0,111.55271718512898,18769.343702579667,8230.5,57.16697875569044,0.6856827114206925,0.5816285599679102,True
강일동,3773,27.057248873575404,21.0,51.12842731248343,6418.980917042141,5278.0,44.309682480784524,0.7333267118822577,0.5257886830245369,True
상일동,10650,35.33990610328639,21.0,88.09264025821597,14067.395774647888,7376.0,44.1833985915493,0.7799687812071248,0.6203722233340004,True
신문로1가,4,65.0,65.0,196.25,35000.0,35000.0,81.28,0.7997047244094488,0.7997047244094488,False
압구정동,1584,74.12121212121212,70.0,320.1723484848485,65613.63636363637,60000.0,100.62443181818182,0.8165619198183737,0.7486897928624906,True
토정동,22,59.0,57.5,195.1590909090909,36309.09090909091,35000.0,62.95590909090909,0.8903706645466843,0.7636478115853245,False
당주동,12,80.0,75.0,109.375,7833.333333333333,4000.0,95.99333333333334,0.8981951038412808,0.7511565085965748,False
궁동,994,39.02213279678068,37.0,58.98620472837022,5323.752515090543,3000.0,47.49414486921529,0.9027735850705703,0.8928571428571429,True
마천동,3224,35.47022332506204,31.0,56.556638492555834,5623.044044665013,3508.0,49.73640322580645,0.9119807735768957,0.75,True
용산동5가,8,120.0,120.0,554.8125,115950.0,120000.0,125.43,0.9582835715783294,0.9581130163701734,False
충무로4가,48,71.625,49.0,101.2734375,7906.25,3000.0,78.4314375,0.9605175744301587,0.681217850688169,True
현저동,240,61.05,57.5,139.63471875,20955.925,20000.0,57.6545,0.9607395511883257,0.9231285666330984,True
안국동,10,59.5,57.0,111.625,13900.0,15000.0,65.666,0.9757302989223184,0.8557672796803206,False
동작동,170,82.09411764705882,80.0,251.58794117647057,45198.35294117647,45700.0,85.44631764705882,1.011280128286445,0.9414976874463051,True
세곡동,740,46.95540540540541,34.0,96.61684797297298,13243.05135135135,7000.0,51.05605675675676,1.020448791615345,0.6829371854655648,True
무악동,102,77.57843137254902,75.0,211.06004901960785,35595.098039215685,40000.0,80.76449019607844,1.0337469995649238,0.9612421936749307,True
