dong,n,rent_mean,rent_median,rent_conv_mean,deposit_mean,deposit_median,area_mean,rent_per_area_mean,rent_per_area_median,reliable
천왕동,4146,21.670767004341535,15.0,45.25110528219971,6288.090207428847,5401.5,42.36643270622287,0.5249812123429384,0.4640746429712463,True
항동,1885,28.49389920424403,17.0,60.47393899204244,8528.010610079575,7358.0,49.37967055702918,0.5474725609154529,0.3507892758707091,True
내곡동,793,35.16267339218159,30.0,92.73183638083229,15351.776796973518,8728.0,53.982244640605295,0.6217249565698778,0.655624568668047,True
신문로1가,3,51.666666666666664,65.0,170.41666666666666,31666.666666666668,35000.0,81.28,0.6356627296587927,0.7997047244094488,False
남대문로5가,3,84.33333333333333,63.0,477.7708333333333,104916.66666666667,100000.0,130.45333333333335,0.6798151136110816,0.49692380501656414,False
장지동,3420,41.33011695906433,29.0,109.30942507309942,18127.815497076022,7622.0,57.400814619883036,0.6802232881315506,0.5751437859464866,True
강일동,7709,27.603320793877288,22.0,51.1694177260345,6284.292515241925,5128.0,43.253213386950314,0.7640244119730326,0.5410821643286573,True
상일동,5641,37.814217337351536,23.0,94.74005096614074,15180.222301010459,8000.0,46.552462683921284,0.7954180984646539,0.6209935897435898,True
문래동1가,53,27.9811320754717,20.0,100.76650943396227,19409.43396226415,29000.0,38.588490566037734,0.8042529672616793,0.657030223390276,True
압구정동,687,78.70160116448326,80.0,322.02359898107716,64885.86608442503,60000.0,102.59764192139738,0.839273761108198,0.7687379884689302,True
용산동5가,15,96.66666666666667,100.0,509.14166666666665,109993.33333333333,110000.0,114.98666666666666,0.8465850103260995,0.9191176470588235,False
현저동,394,51.68527918781726,20.0,105.94979695431472,14470.53807106599,5000.0,51.481142131979695,0.8526531893973317,0.48148148148148145,True
마천동,4153,35.50421382133398,31.0,56.23691728870696,5528.720924632796,3052.0,46.10249723091741,0.9030620199952772,0.8205893323386796,True
궁동,1195,39.29456066945607,40.0,57.96370502092051,4978.438493723849,2197.0,47.47846025104603,0.9164371879735497,0.911577028258888,True
당주동,15,89.53333333333333,90.0,149.03333333333333,15866.666666666666,5000.0,103.844,0.9283548126568508,0.9569377990430622,False
신내동,5655,41.5709991158267,32.0,68.04017617152962,7058.447214854112,5000.0,47.52954252873564,0.9425960896817791,0.6855040963049657,True
도원동,318,60.38364779874214,43.0,141.2094496855346,21553.54716981132,20000.0,61.03270440251572,0.9739611383322682,0.7356382111743642,True
길음동,3494,56.113623354321696,45.0,119.13035131654264,16804.460789925586,8000.0,56.983941614195764,0.9847368206267714,0.8237232289950577,True
재동,3,66.66666666666667,50.0,120.41666666666667,14333.333333333334,20000.0,102.43333333333334,0.9878855779776429,1.2626262626262625,False
만리동2가,363,61.352617079889804,60.0,170.7924517906336,29183.955922865014,18648.0,61.36494490358126,1.012058808676089,0.9412761351201892,True
충무로4가,40,79.125,87.5,137.0625,15450.0,3500.0,80.338325,1.0126427024459541,0.9624547422697856,True
수색동,1490,50.060402684563755,37.0,97.48532885906039,12646.646979865773,8918.0,52.07022818791946,1.0132641251073926,0.8034145116746172,True
한강로2가,2488,37.18207395498392,33.0,86.64895850080386,13191.169212218649,16052.0,39.73780506430868,1.0138899727220907,0.700098013721921,True
율현동,418,54.133971291866025,50.0,103.5401495215311,13174.98086124402,6151.0,53.9006961722488,1.0365355879978246,0.9179694205255126,True
주성동,101,52.386138613861384,53.0,74.52027227722772,5902.435643564357,2840.0,57.45990099009901,1.0496149379268145,0.9473684210526315,True
남학동,5,42.8,44.0,60.05,4600.0,5000.0,44.19,1.0555658379007862,0.7939658594680429,False
산천동,322,63.48136645962733,55.0,136.882573757764,19573.655279503106,20000.0,60.51959627329193,1.064151446243011,1.0186053556533972,True
온수동,647,52.755795981452856,47.0,78.48744397217929,6861.772797527048,2000.0,55.439466769706335,1.0790334036522118,0.9462016761286833,True
무악동,288,76.84027777777777,70.0,194.70310329861113,31430.086805555555,30000.0,76.02694791666666,1.0889505696526365,1.0719518422499803,True
거여동,6215,44.02928399034594,35.0,84.80536122284794,10873.62059533387,5000.0,46.38004682220434,1.0899372211335094,0.7924464677120215,True
평창동,411,60.90997566909976,60.0,109.47484793187347,12950.632603406326,6000.0,65.01140145985401,1.093056192009731,1.0495932826029915,True
토정동,69,66.6086956521739,60.0,178.38657608695652,29807.434782608696,30000.0,62.372608695652175,1.096340109073371,1.0593220338983051,True
청운동,58,66.12068965517241,61.5,141.5344827586207,20110.344827586207,22000.0,65.86344827586207,1.0987357761374423,0.9262750205648479,True
개봉동,8566,50.84683632967546,45.0,88.89730227060471,10146.790917581135,5000.0,57.5718087788933,1.0987743708311546,0.9073925807312517,True
오금동,4111,46.211627341279495,40.0,90.096319326198,11702.584529311604,6148.0,50.20203381172464,1.0995081134315012,0.8465250148141877,True
동작동,247,83.05263157894737,80.0,260.06857287449395,47204.25101214575,50000.0,80.37412145748988,1.1003621774052879,1.0002353494939986,True
현석동,420,68.67380952380952,68.0,161.05390773809523,24634.692857142858,14200.0,65.18990476190476,1.1214174865235231,1.17096018735363,True
돈암동,1638,65.2008547008547,60.0,117.20147970085469,13866.833333333334,6000.0,61.95535042735043,1.121919469585678,1.0786672323089124,True
홍파동,144,84.58333333333333,86.5,367.7317708333333,75506.25,72900.0,77.92922222222222,1.1220879218186584,1.1787587670183297,True
세곡동,1671,53.001795332136446,37.0,107.07649012567325,14419.918611609815,6713.0,52.84910951526032,1.1236977937434864,0.7036590269400884,True
이촌동,1455,76.2872852233677,73.0,211.1142826460481,35953.865979381444,30000.0,76.65912439862542,1.1280159948446664,1.008267795926598,True
응봉동,731,68.5389876880985,60.0,140.31231019151846,19139.55266757866,15000.0,65.42254445964431,1.1304574642824237,1.1278195488721805,True
행촌동,1104,43.330615942028984,43.5,75.53365942028987,8587.478260869566,8235.0,41.49518297101449,1.1410636900425495,1.1661652479356264,True
개화동,78,46.48717948717949,37.0,62.62660256410256,4303.846153846154,2750.0,53.17628205128205,1.1436193530905654,1.0,True
하중동,53,66.35849056603773,60.0,284.5731132075472,58190.56603773585,70000.0,82.26018867924529,1.1446069412487019,1.0562848951259998,True
문래동2가,68,60.4264705882353,60.0,82.25367647058823,5820.588235294118,5000.0,54.43735294117647,1.1466071610372122,1.0570824524312896,True
청암동,20,56.6,60.0,77.15,5480.0,3500.0,51.161500000000004,1.1521497582175022,1.1995335328747019,False
문래동4가,63,75.39682539682539,75.0,162.74801587301587,23293.650793650795,25000.0,73.73134920634921,1.1569379491478315,1.0588235294117647,True
신정동,16320,49.17267156862745,40.0,91.59034160539215,11311.378676470587,5000.0,49.54675477941176,1.1591629947058026,0.9090909090909091,True
고척동,4829,47.77075999171671,45.0,79.21405803478982,8384.879478152827,4000.0,49.03839946158625,1.1756480326407628,0.9722222222222222,True
동빙고동,317,55.84858044164038,50.0,73.53184148264984,4715.536277602524,1000.0,52.553312302839124,1.178983664384526,1.17096018735363,True
구기동,192,67.44270833333333,60.0,118.69661458333333,13667.708333333334,6500.0,71.70403125,1.1885493568705157,1.0893175095701335,True
가회동,99,55.121212121212125,55.0,99.3465909090909,11793.434343434343,5000.0,55.91171717171717,1.1903016018596841,1.09217999126256,True
증산동,1154,46.418544194107454,40.0,78.99234727036395,8686.347487001733,5000.0,47.553511265164644,1.193139373854708,0.8748906386701663,True
문래동6가,1975,63.64354430379747,59.0,139.80060253164558,20308.548860759493,25000.0,55.9514217721519,1.1933463720809654,0.984974958263773,True
우면동,3528,47.032879818594104,37.5,102.11784686791383,14689.32454648526,7374.0,49.978854875283446,1.2052279839433695,0.7073803348266918,True
신월동,8658,48.63860013860014,45.0,69.65683515246016,5604.8626703626705,2000.0,44.77007669207669,1.2082432536719168,1.0785547715045944,True
옥수동,1569,68.99043977055449,70.0,190.70289435946464,32456.6545570427,30000.0,63.77049458253665,1.2237367585009518,1.1055276381909547,True
평동,75,90.45333333333333,97.0,353.0683333333333,70030.66666666667,70000.0,75.33742666666666,1.225272593735351,1.181893393215932,True
금호동3가,962,56.84823284823285,50.0,106.29390852390853,13185.513513513513,5000.0,51.59100727650728,1.2295368858379607,1.2012616885365759,True
금호동1가,863,65.53650057937428,55.0,155.74692641946697,24056.113557358054,14022.0,57.856564310544606,1.2299145669989018,1.2531328320802004,True
고덕동,3951,58.52012148823083,50.0,134.321766324981,20213.771956466717,10960.0,54.53444975955455,1.231548633474287,1.0131712259371835,True
금호동2가,593,64.76053962900505,58.0,171.28168001686342,28405.637436762227,20000.0,55.93967959527825,1.2357280916206628,1.2502083680613436,True
보문동3가,156,69.3974358974359,60.0,135.10457532051282,17521.903846153848,15000.0,59.25212820512821,1.2445365105841801,1.197701417339776,True
안국동,23,66.52173913043478,59.0,108.3913043478261,11165.217391304348,13000.0,62.646086956521735,1.2471057215543992,0.9122157588577472,False
홍제동,4566,53.23324572930355,50.0,88.70201297634691,9458.337932544897,4707.0,49.24159921156373,1.253070151585856,1.1307100859339665,True
상계동,20338,53.68049955747861,53.0,72.78065382535156,5093.374471432786,2053.5,46.856803471334445,1.254254925949449,1.301561874249099,True
광장동,1790,67.4340782122905,60.0,165.21848952513966,26075.843016759776,24000.0,61.38367597765363,1.2587545379671519,1.2413145001091,True
신천동,1795,82.2217270194986,84.0,274.9380271587744,51391.013370473534,50000.0,76.41403342618385,1.2613262873212052,1.0915706488781078,True
본동,927,56.31715210355987,50.0,117.01771035598705,16186.815533980582,6000.0,55.280978425026966,1.26300148267871,1.1839924224484963,True
누상동,248,47.943548387096776,45.0,90.53024193548387,11356.451612903225,9600.0,46.54362903225806,1.2635995953598933,1.0148724932098445,True
우이동,859,48.034924330616995,43.0,63.181693830034924,4039.138533178114,2000.0,47.5107450523865,1.2650764159359391,1.0851871947911014,True
내발산동,5489,47.10712333758426,40.0,84.48729618327565,9968.04609218437,5500.0,46.02334578247404,1.2713109623474839,0.8834789437518406,True
동소문동2가,50,54.66,55.0,69.9375,4074.0,2000.0,44.8068,1.27408606468791,1.2301498546186536,True
망우동,7099,43.28835047189745,40.0,66.41611758698409,6167.404564023102,3000.0,41.04795844485139,1.275926023070843,1.0302197802197801,True
북가좌동,4209,53.01045378949869,50.0,83.17619149441673,8044.196721311476,3000.0,48.966481824661436,1.2780318061889766,1.1432304425935,True
시흥동,9150,44.772677595628416,40.0,62.005871038251364,4595.51825136612,1560.5,44.80053180327869,1.2791581689816747,1.1111111111111112,True
장위동,5104,46.18652037617555,40.0,72.98005657327586,7144.942985893417,3480.0,45.44438381661442,1.281623163300028,0.9568545581071678,True
중계동,6416,64.74064837905237,69.0,100.17437441552369,9448.993609725685,3000.0,53.097049875311725,1.2846396608606798,1.4184988968743193,True
구산동,2293,46.140863497601394,40.0,67.80925643262103,5778.238116005234,3571.0,41.853776711731356,1.2917749029289136,1.1406844106463878,True
쌍문동,5860,49.430546075085324,47.0,65.7246832337884,4345.103242320819,2000.0,47.06450802047782,1.292028652843545,1.2443338468222933,True
권농동,3,42.666666666666664,40.0,90.54166666666667,12766.666666666666,3000.0,53.346666666666664,1.293774731542851,1.3073507646768623,False
금호동4가,717,64.06694560669456,58.0,154.52889644351464,24123.186889818688,8000.0,56.841154811715484,1.296146621784648,1.1979634621144055,True
영천동,138,72.76811594202898,63.0,147.85371376811594,20022.82608695652,20000.0,63.35057971014492,1.310054956441558,1.3850415512465373,True
보광동,1102,55.06896551724138,50.0,68.10860707803992,3477.2377495462797,1000.0,45.765871143375676,1.3104471236032418,1.3,True
갈현동,4081,46.42930654251409,45.0,66.70016723842195,5405.5628522420975,3000.0,42.920431266846364,1.3155165576551628,1.1261261261261262,True
가락동,11344,50.90982016925247,46.0,117.86467383638929,17854.627644569817,13392.0,45.446182739774336,1.319877103201642,1.0977789124329844,True
산림동,2,95.0,95.0,104.375,2500.0,2500.0,72.94,1.3220599243400326,1.3220599243400326,False
석관동,3659,47.76796939054386,40.0,69.53345005465974,5804.1281770975675,2000.0,41.841918283684066,1.3345454241569814,1.1558219178082192,True
보문동6가,767,51.27770534550196,40.0,79.58718872229466,7549.1955671447195,4237.0,42.296310299869624,1.3372623277485773,1.2349799732977302,True
둔촌동,2831,53.33274461321088,50.0,104.82082479689156,13730.154715648181,6000.0,47.52566336983398,1.339882043593086,1.1957635804578066,True
서빙고동,265,68.09056603773585,60.0,165.03089622641508,25850.754716981133,5000.0,73.76245283018868,1.347829394428713,1.1322463768115942,True
신계동,231,54.16883116883117,48.0,149.24368506493508,25353.29437229437,15000.0,46.16787878787879,1.351841734250547,1.060195547178702,True
신영동,294,57.843537414965986,50.0,87.68792517006803,7958.503401360545,3000.0,50.29326530612245,1.3584106441233161,1.3784078972320548,True
미아동,11871,47.31867576446803,41.0,65.00623957543593,4716.683682924775,1173.0,43.848481341083314,1.363084421955564,1.1379310344827587,True
창성동,56,68.625,70.0,110.94642857142857,11285.714285714286,10000.0,54.471964285714286,1.3643170853423496,1.194921379413333,True
중화동,5762,46.80631725095453,43.0,66.51634718847622,5256.007983339118,2000.0,44.80253002429712,1.3645769850231455,1.23545228987268,True
역촌동,4755,47.797055730809674,45.0,67.55141456361724,5267.829022082019,2000.0,41.457932071503684,1.3660839805732594,1.2081463583016914,True
불광동,7509,47.59834864828872,43.0,69.73336462911173,5902.67092821947,3000.0,41.61310201092023,1.3689862441166583,1.1368334022323274,True
외발산동,91,49.23076923076923,45.0,68.49237637362637,5136.428571428572,3000.0,39.864505494505494,1.3768143601554579,1.0811709913506322,True
암사동,7565,50.15888962326504,45.0,90.00951206212822,10626.832650363516,4000.0,43.54646768010575,1.3787131454864556,1.2271540469973892,True
양평동1가,731,48.310533515731876,44.0,96.54072503419974,12861.38440492476,8000.0,38.52180848153215,1.381706750674524,1.1196228638774308,True
삼선동3가,380,45.11578947368421,45.0,67.1672894736842,5880.4,2112.0,38.80555263157895,1.3907011614020937,1.335473515248796,True
냉천동,301,55.14617940199336,50.0,120.06535714285714,17311.78073089701,5000.0,47.631993355481725,1.3921542056701954,1.0789814415192058,True
옥인동,202,57.91089108910891,52.5,97.07112004950494,10442.727722772277,7000.0,50.964405940594055,1.398345956047045,1.2261580381471389,True
응암동,8965,48.88611266034579,45.0,77.10076464026771,7523.907194645845,3000.0,41.08275158951478,1.398485806646091,1.1860989206499821,True
염곡동,52,66.09615384615384,62.5,128.6346153846154,16676.923076923078,15000.0,59.75096153846154,1.3992085066891504,1.3162639740353408,True
신교동,188,53.579787234042556,50.0,78.40359042553192,6619.68085106383,3000.0,41.3,1.3994842846002487,1.5146455152138043,True
면목동,17923,46.95179378452268,42.0,68.98771334319031,5876.2452156447025,2000.0,39.68676482731686,1.4011615811459168,1.2161223071577485,True
청파동1가,801,47.59051186017478,46.0,68.11874219725344,5474.194756554307,2000.0,42.73051186017478,1.4015029299716153,1.213224143160449,True
녹번동,4476,49.918007149240395,48.0,76.75228915326184,7155.808534405719,3000.0,42.63445554066131,1.407689695527169,1.2305799107829565,True
부암동,385,59.46233766233766,55.0,86.9063474025974,7318.402597402597,3000.0,50.20088311688312,1.4173944876636289,1.4456836018174308,True
풍납동,4717,49.44753020987916,45.0,88.18261580453678,10329.356158575365,5000.0,44.667564553741784,1.4175274441138648,1.25,True
도봉동,4014,51.86671649227703,45.0,64.62773480318884,3402.938216243149,1000.0,44.19738764324863,1.4190707961267794,1.3099916636894129,True
월계동,6767,55.388207477464164,53.0,75.21766994236737,5287.856657307521,2000.0,45.96704108172011,1.42549763840011,1.3960909453530115,True
목동,13950,57.2647311827957,55.0,122.06533360215055,17280.16064516129,6000.0,49.582534982078855,1.426169010968166,1.2215503014524556,True
영등포동,1337,51.086013462976815,45.0,86.16997569184743,9355.72326103216,2000.0,43.6320770381451,1.4289946879634712,1.3636363636363635,True
방학동,6287,49.48544615874026,50.0,63.90703535072372,3845.7571178622557,1000.0,45.05511531732146,1.4304632895114242,1.1538461538461537,True
홍은동,4172,50.93648130393097,47.5,73.39501018696069,5988.941035474592,2000.0,44.23161625119846,1.4306804640409823,1.25,True
중동,759,55.72727272727273,50.0,97.4888537549407,11136.42160737813,4000.0,48.853811594202895,1.4307479692064964,1.2411347517730498,True
창신동,2062,52.33074684772066,47.0,71.27192046556742,5050.9796314258,1500.0,45.938646944713874,1.4327406261066742,1.3007916784882907,True
상왕십리동,488,50.46516393442623,43.0,114.25626024590164,17010.95901639344,10000.0,39.51549180327869,1.4366485298315266,1.2982797792924377,True
효자동,34,74.20588235294117,73.0,105.63970588235294,8382.35294117647,5000.0,56.3714705882353,1.4371509941095293,1.4252343228577233,True
창동,10657,57.74683306746739,55.0,76.9230824809984,5113.666510274937,2000.0,46.95314591348409,1.439675395569491,1.4016820184221066,True
문래동5가,520,56.42307692307692,53.5,100.64123076923077,11791.507692307692,7000.0,43.97230769230769,1.4448813286617563,1.3714856426979947,True
원서동,242,55.28099173553719,50.0,76.13223140495867,5560.330578512397,3000.0,42.21826446280991,1.445338500550044,1.3595166163141994,True
삼전동,10311,47.596644360391814,49.0,82.87015068858501,9406.268354184851,5676.0,38.24549209582,1.44869973979656,1.2958963282937366,True
용산동2가,1315,62.49961977186312,60.0,77.08870817490494,3890.423574144487,1000.0,46.99649733840304,1.4562522086419938,1.4687882496940023,True
사직동,231,69.06060606060606,63.0,144.56872294372295,20135.497835497834,5000.0,58.52809523809524,1.4584182655754812,1.25,True
삼청동,77,57.532467532467535,55.0,81.36444805194805,6355.194805194805,4000.0,48.942337662337664,1.4584614644090654,1.3336889837289942,True
일원동,4536,62.57583774250441,59.0,149.77874035493826,23254.107363315696,15000.0,51.72507186948854,1.459541281566379,1.336385061665149,True
당산동2가,1337,49.37471952131638,40.0,98.43177636499627,13081.881824981301,10000.0,36.905679132385934,1.4623502670426505,1.2509382036527397,True
성북동,845,54.188165680473375,50.0,83.66505177514793,7860.502958579882,4000.0,43.13478106508876,1.4631634943573826,1.3131313131313131,True
하계동,3693,59.68291362036285,60.0,83.86312483076091,6448.0563227728135,2000.0,45.91895207148659,1.4760974544711105,1.5366430260047281,True
계동,86,61.77906976744186,60.0,90.02180232558139,7531.395348837209,4000.0,48.822325581395354,1.4780532807226616,1.5562472209871054,True
용강동,738,63.707317073170735,60.0,147.42397865853658,22324.443089430893,8000.0,51.20535230352304,1.4815715176645075,1.333777925975325,True
북아현동,2775,59.55603603603603,50.0,106.48958873873875,12515.614054054055,3000.0,49.13838594594595,1.4905677645595747,1.185177381548105,True
삼선동1가,779,50.906290115532734,50.0,65.01842105263158,3763.234916559692,1000.0,41.3603594351733,1.4906596539830739,1.4360938247965533,True
오류동,6749,43.9248777596681,44.0,61.690175766780264,4737.412801896578,2000.0,34.86898073788709,1.5043784576297843,1.248303934871099,True
보문동1가,214,53.691588785046726,50.0,95.4884929906542,11145.841121495327,4000.0,40.318841121495325,1.5054396334335078,1.3379940124767942,True
묵동,6067,47.01664743695402,45.0,69.51038239657161,5998.329322564694,3000.0,40.25080187901764,1.5298018403438405,1.375,True
화동,7,82.85714285714286,80.0,101.875,5071.428571428572,2000.0,58.92,1.534208823884144,1.4958274287513778,False
