year,rent_mean,rent_median,rent_per_area_mean,rent_yoy
2021,62.46153846153846,63.0,1.3284600303634302,
2022,51.883922176429834,50.0,1.6223254399968838,-16.934607353006427
2023,54.05744382396211,50.0,1.7344975674013174,4.189200731859244
2024,53.15258155379896,50.0,1.760181596526756,-1.6738902289013757
2025,55.16728794256501,51.0,1.8687452316655508,3.7904205776474686
